スポット名,電話番号,URL,カナ,メインジャンル名,サブジャンル名,エリア名,本文,ic:住所_表記,住所2,ic:定型住所_区,郵便番号,緯度,経度,電話番号,営業時間,URL,アクセス,定休日,料金,駐車場,バリアフリー対応（観光）
KOBEとんぼ玉ミュージアム,078-393-8500,http://www.lampwork-museum.com,コウベトンボダマミュージアム,アート・カルチャー,体験・見学・クラフト,三宮・元町,KOBEとんぼ玉ミュージアムは、穴の開いたガラス玉「とんぼ玉」を中心に、古代～現代のランプワーク技法によるガラス工芸を展示するミュージアムです。作家やスタッフのデモンストレーション、ランプワーク技法によるとんぼ玉制作など体験メニューも充実で、思い出に残るお土産にもぴったり。「観る」「学ぶ」「創る」「買う」の楽しさに満ちあふれた、体験観光型ミュージアムです。,神戸市中央区京町79,日本ビルヂング　2F,中央区,650-0021,34.688619,135.193739,078-393-8500,10:00～19:00,http://www.lampwork-museum.com,各線 三宮・元町駅から徒歩8分,なし,大人 ￥400 / 小・中学生 ￥200,近隣に駐車場あり,車椅子入場可
神戸市立相楽園,078-351-5155,http://www.sorakuen.com,コウベシリツ ソウラクエン,神社・仏閣・庭園,歴史,北野・新神戸（市街地北部）,相楽園は、小寺泰次郎氏の本邸に営まれた庭園で、明治18年頃から築造に着手し、明治末期に完成したものです。昭和16年から神戸市の所有となり、一般に公開されるようになりました。飛石や石橋を渡る池泉回遊式(ちせんかいゆうしき)の日本庭園は、まさに深山幽谷の景。蘇鉄園や樹齢500余年の大クスノキ、春に咲き乱れるツツジと秋の紅葉も見事です。重厚な正門と欧風建築が印象的な旧小寺家厩舎、船屋形、旧ハッサム住宅(いずれも重要文化財)のほか、茶室が庭園の景観と調和しています。,神戸市中央区中山手通5-3-1,,中央区,650-0004,34.692724,135.181154,078-351-5155,金～水　9:00～17:00　(最終入園時間は16:30),http://www.sorakuen.com,地下鉄山手線 県庁前駅下車、北へ徒歩5分,木(祝祭日開園、翌日休園),大人(15歳以上)￥300 / 小人(小学生・中学生)￥150 / 団体割引 15～99人 1割引、100～299人 2割引、300人以上 3割引,駐車場なし,介助犬入場OK<>盲導犬入場OK
竹中大工道具館,078-242-0216,http://dougukan.jp/,タケナカダイクドウグカン,歴史,アート・カルチャー,北野・新神戸（市街地北部）,竹中大工道具館は日本で唯一の大工道具の専門博物館です。「人と自然をつなぐ、伝統と革新をつなぐ」をテーマに、2014年10月、新神戸駅前への移転、オープンしました。これまで収集した3万点余りの中から選りすぐった約1千点の大工道具のほか、吹き抜け空間に7メートルを超える高さでそびえたつ原寸大の唐招提寺金堂の柱と組み物、数寄屋の繊細な仕事が見えるスケルトン茶室など、現代の匠たちの手によって最高の職人技を詰め込んだ特別な模型を展示しています。また、「宮大工がいる博物館」というユニークな特色を生かし、新たに設けた木工室ではプロの技を間近に体感できるプログラムもご用意しています。,神戸市中央区熊内町7-5-1,,中央区,651-0056,34.706908,135.197532,078-242-0216,火～日　9:30～16:30（入館は16:00まで）,http://dougukan.jp/,山陽新幹線新神戸駅（中央改札口）から徒歩3分、市営地下鉄新神戸駅北出口2から徒歩3分,月(祝日の場合は翌平日),一般￥500 / 大高生￥300 / 小中生以下無料,無料専用駐車場あり,バリアフリートイレ<>エレベーターあり<>車椅子入場可
神戸市立須磨海浜水族園,078-731-7301,http://sumasui.jp/,コウベシリツ スマカイヒンスイゾクエン,自然・生き物・アウトドア,体験・見学・クラフト,須磨・垂水・舞子,"1957年に開園された神戸市立須磨海浜水族園は、神戸市民に愛される水族館です。バンドウイルカたちが華麗な技を披露する「イルカライブ」、サメ・エイなどがゆうゆうと泳ぐ「大水槽」、世界最大級の淡水魚ピラルクが見られる「アマゾン館」など、わくわく楽しい見所が盛りだくさん! 
ラッコのお食事タイムを解説つきで実演する「ラッコのお食事ライブ」など、大人から子供まで楽しめるアトラクションがいっぱい。ふれあいプログラムも充実しており、「イルカにタッチ」「アザラシにタッチ」では、実際に動物たちに触れることができます（有料／人数限定）。2015年春には、新たに触れ合いエリアがリニューアル。生き物たちと距離感ゼロの世界がパワーアップ！",神戸市須磨区若宮町1-3-5,,須磨区,654-0049,34.643764,135.128029,078-731-7301,9:00～17:00(GW、夏休みは ～20:00),http://sumasui.jp/,JR 須磨海浜公園から南へ徒歩約5分 / 山陽 月見山駅から南へ徒歩約10分,3～11月 無休、12～2月 水曜　ただし年末年始、祝日は開園,大人(18歳以上)￥1300 / 中人(15～17歳)￥800 / 小人(小・中学生)￥500 / 乳幼児 無料,近隣に駐車場あり（有料）,介助犬入場OK<>盲導犬入場OK<>エレベーターあり<>車椅子利用可能トイレ<>バリアフリートイレ<>車椅子入場可
風見鶏の館,078-242-3223,http://www.kobe-kazamidori.com/,カザミドリノヤカタ,異人館,,北野・新神戸,風見鶏の館(旧トーマス住宅)は、明治42年(1909年)頃にドイツ人貿易商ゴッドフリート・トーマス氏の自邸として建てられました。建物の設計に当ったのは、ドイツ人の建築家ゲオルグ・デ・ラランデ。レンガの外壁と尖塔の風見鶏は、北野異人館のシンボルとして人々に愛されています。昭和58年12月より昭和60年3月にかけて本格的な保存修理を行い、復原できる箇所は可能な限り元の姿に戻しています。現在は国の重要文化財に指定されています。,神戸市中央区北野町3-13-3,,中央区,650-0002,34.701396,135.189475,078-242-3223,9:00～18:00,http://www.kobe-kazamidori.com/,各線 三宮駅より徒歩15分 / 新幹線・地下鉄山手線 新神戸駅より徒歩15分,6月・2月の第1火(祝日の場合は翌日休),一般￥500 (高校生以下、65歳以上の神戸市民、障がい者等は無料) / 団体(30名以上)￥400 /萌黄の館との2館共通券 ￥650,近隣に有料駐車場あり,その他
ラインの館,078-222-3403,http://www.kobe-kazamidori.com/,ラインノヤカタ,異人館,,北野・新神戸,大正4年(1915年)に建築されたラインの館。木造2階建下見板張りオイルペンキ塗りの建物は、開放されたベランダやベイ・ウィンドなど、明治時代のいわゆる異人館の様式をそのまま受け継いでいます。昭和53年の一般公開の際に愛称を公募した結果「ラインの館」となりました。1階に休憩室・展示室・土産物コーナーを設置し、2階では北野異人館街の歴史や震災関係の展示を行っています。,神戸市中央区北野町2-10-24,,中央区,650-0002,34.701126,135.191206,078-222-3403,9:00～18:00,http://www.kobe-kazamidori.com/,各線 三宮駅より徒歩15分 / 新幹線・地下鉄山手線 新神戸駅より徒歩10分,6月・2月の第3木(祝日の場合は翌日休),無料,近隣に有料駐車場あり,その他
キリンビール神戸工場,078-986-8001,http://www.kirin.co.jp/entertainment/factory/kobe,キリンビールコウベコウジョウ,体験・見学・クラフト,自然・生き物・アウトドア,北神戸,キリンビール神戸工場では、ブルワリーツアーガイドの案内でビールの製造工程が楽しく学べます。工場見学のあとは、できたてビールの試飲をどうぞ!(見学は事前予約制、必ずHP又はお電話でご予約ください)隣接する「丘の上のビアレストラン」では、樽生ビールにぴったりな、地元食材を使用した味わいグルメも楽しめます。また、キリンビール神戸工場では環境への取り組みにも力を入れ、野性の動植物たちの一時的な避難場所となる「ビオトープ」を整備しています。カワバタモロコなど絶滅危惧種の保護・育成に取り組み、環境ツアーなども随時開催しています。,神戸市北区赤松台2-1-1,,北区,651-1516,34.878524,135.17855,078-986-8001,9:20～17:00 (工場見学:毎時00分/ 10分/ 30分/ 40分/ 最終ツアー15:40～),http://www.kirin.co.jp/beerpark-kobe,JR・神鉄 三田駅から缶型ラガーバスで20分  / 神戸三田ICより車で約4分,月(但し祝日の場合は開館),無料,無料専用駐車場あり,バリアフリートイレ<>エレベーターあり<>介助犬入場OK<>盲導犬入場OK<>車椅子利用可能トイレ
生田神社,078-321-3851,http://www.ikutajinja.or.jp,イクタジンジャ,神社・仏閣・庭園,文化,三宮・元町,生田神社は1800年以上の歴史を有する古社。生田の神を守る家、神戸(かんべ)が由来となって神戸という地名が生まれました。生田は元々は活田であり、活き活きとした生命力溢れる場所という意味です。近年はアスリートやアーティストの参拝も多く、神戸中心市街地に位置することから訪れる参拝客も多数です。,神戸市中央区下山手通1-2-1,,中央区,650-0011,34.694796,135.190706,078-321-3851,7:00～日没,http://www.ikutajinja.or.jp,各線 三宮駅より北西へ徒歩5～10分,なし,なし,有料専用駐車場あり,車椅子利用可能トイレ<>盲導犬入場OK<>介助犬入場OK<>車椅子入場可
神戸ポートタワー,078-391-6751,http://www.kobe-meriken.or.jp/port-tower/,コウベポートタワー,みなと・海,夜景・展望,メリケンパーク・ハーバーランド,神戸のランドマーク神戸ポートタワーは、2013年11月に50周年を迎え、国の登録有形文化財に登録されました。最上階の展望室からは神戸港と市街地、六甲山系の大パノラマが望め、夜には1千万ドルの夜景が眼下に広がります。展望3階には20分で360度回転する喫茶店、また展望5階の天井には光ファイバーによる四季の星座も楽しめます。周辺の神戸港の散策とあわせてお楽しみください。,神戸市中央区波止場町5-5,,中央区,650-0042,34.682623,135.186726,078-391-6751,9:00～21:00/12月～2月末　9:00～19:00　※最終入場はいずれも終了の30分前まで,http://www.kobe-meriken.or.jp/port-tower/,各線 元町駅より徒歩約15分 / 地下鉄海岸線 みなと元町駅より徒歩約5分,年中無休,小・中学生 ￥300 / 大人(高校生以上) ￥700,なし（近隣に駐車場あり）,バリアフリートイレ<>車椅子利用可能トイレ<>エレベーターあり<>車椅子入場可<>その他<>点字案内あり<>介助犬入場OK<>盲導犬入場OK
世良美術館,078-822-6456,http://www.osk.3web.ne.jp/~amon4696,セラビジュツカン,アート・カルチャー,文化,灘・東灘,世良美術館は、世良臣絵(せらとみえ)が個人資産で設立した民間文化施設です。「女性がほっとできる空間」をコンセプトにした館内に、世良臣絵の作品や彼女が師事した小磯良平の水彩作品などを常設展示しています。自然光があふれるレンタルスペースは、サロンコンサートやギャラリースペースとしても利用可能。日常空間を忘れて、文化的な時をゆったりと過ごすことができます。,神戸市東灘区御影2-5-21,,東灘区,658-0047,34.723147,135.252317,078-822-6456,10:00～17:00(入館は16:30迄),http://www.osk.3web.ne.jp/~amon4696,阪急 御影駅より南へ徒歩3分,月 / 火 / コンサート日 臨時休館あり,一般￥500 / 学生￥300 / シニア(65歳～)￥400,無料専用駐車場あり（2台）,盲導犬入場OK<>介助犬入場OK<>バリアフリートイレ<>車椅子利用可能トイレ<>車椅子入場可
白鶴美術館,078-851-6001,http://www.hakutsuru-museum.org,ハクツルビジュツカン,アート・カルチャー,文化,灘・東灘,昭和9年に開館した白鶴美術館は、白鶴酒造7代嘉納治兵衛が開設した老舗の私立美術館。国宝2件、重要文化財22件を含む約1450点の作品を所蔵しています。東洋の宮殿を思わせる本館では、中国古代青銅器、銀器、鏡や陶磁器など世界的な一級品を中心に展示。モダンな新館には約60点ものオリエント絨毯が展示され、エキゾチックな雰囲気を楽しむことができます。 昭和の名建築でもある本館は、六甲山麓の緑や紅葉とのコントラストも見事。近隣からは、東神戸の街並みと大阪湾の眺望も楽しめます。,神戸市東灘区住吉山手6-1-1,,東灘区,658-0063,34.730876,135.258014,078-851-6001,火～日　10:00～16:30,http://www.hakutsuru-museum.org,阪急 御影駅から北東へ徒歩約15分 / 阪神 御影・JR 住吉駅から市バス38系統渦森台行、「白鶴美術館前」下車,月(月が祝日と重なる場合は翌日),小・中学生 ￥250 / 高・大学生 ￥500 / 大人 ￥800,無料専用駐車場あり,
マリンピア神戸 さかなの学校,078-706-5550,http://www.marinpia.com,マリンピアコウベ サカナノガッコウ,体験・見学・クラフト,,須磨・垂水・舞子,マリンピア神戸さかなの学校では、神戸を中心とした漁業を広く紹介し、漁業への親しみや理解を深める様々なイベントを実施しています。塩分を濃くした海水を土鍋で煮詰め、ミネラルたっぷりの塩を作る「塩づくり体験」や、神戸の海で養殖した新鮮な海苔を手すきして作る「乾のりづくり体験」(季節限定)、季節にあわせた工作をする「ものづくり体験」など、お子さまや家族みんなで楽しめるユニークな体験教室がいっぱい。手作りした塩や海苔は持ち帰ることができるので、お土産にもぴったりです。,神戸市垂水区海岸通12-4,,垂水区,655-0036,34.624847,135.048189,078-706-5550,10:00～17:00(ただし入館は16:30まで),http://www.marinpia.com,JR 垂水駅・山陽電車 垂水駅より南西へ約1km(徒歩約10分),水(祝日と重なる場合は翌日),入館無料,近隣に駐車場あり,車椅子入場可<>車椅子利用可能トイレ<>バリアフリートイレ
萌黄の館,078-222-3310,http://www.city.kobe.lg.jp/culture/culture/institution/foreigner/sub3.html,モエギノヤカタ,異人館,,北野・新神戸,萌黄の館は、明治36年(1903)にアメリカ総領事の邸宅として建築され、昭和55年(1980)に国の重要文化財に指定されました。木造2階建て、下見板張りの異人館で、2つの異なった形のベイ・ウィンドー(張り出し窓)が特徴です。アラベスク風模様が施された階段・重厚なマントルピースなど贅沢な意匠が随所にみられ、2階のベランダからは神戸港まで見渡せる素晴らしい眺望が広がっています。,神戸市中央区北野町3-10-11,,中央区,652-0002,34.700979,135.189256,078-222-3310,9:00～18:00,http://www.feel-kobe.jp/sightseeing/spot/?sid=94,新幹線・地下鉄西神山手線 新神戸駅より徒歩15分 / 各線 三宮駅から徒歩15分,２月の第３水曜日・第３木曜日,大人単館券￥350 / 大人2館券￥650(萌黄の館、風見鶏の館) / 高校生以下、無料,近隣に駐車場あり,車椅子入場可(館内用車イス有)
UCCコーヒー博物館,078-302-8880,http://www.ucc.co.jp/museum/,ユーシーシーコーヒーハクブツカン,文化,歴史,ポートアイランド・六甲アイランド,"ポートアイランドにあるUCCコーヒー博物館は、日本で唯一のコーヒー専門博物館です。展示室では、コーヒーの起源、栽培、流通、加工、文化などを映像やパネルでご紹介。特別展示室では懐かしいUCCの企業CMも見ることができ、館内を見学後にコンピュータのクイズに挑戦すると、顔写真入りのコーヒー博士認定証が貰えます! 
館内には、世界のコーヒーが楽しめる喫茶室(別料金)や、ここでしか手に入らないオリジナルグッズを揃えたミュージアムショップも併設。2種類のコーヒーを試飲できるティスティングコーナー、世界で一つのオリジナルローストが作れる焙煎体験（別料金・要予約）は1日12名限定で開催。",神戸市中央区港島中町6-6-2,,中央区,650-0046,34.665264,135.216871,078-302-8880,10:00～17:00(入館は16:30まで),http://www.ucc.co.jp/museum/,ポートライナー三宮駅から「北埠頭行き」に乗車後、「南公園駅」下車、徒歩1分,月(祝日の場合は翌日）、年末年始,"大人(高校生以上) 300円 / 団体(20名以上) 240円
シニア(65歳以上) 150円 / 中学生以下 無料

障がい者(介添人1名まで同額) 150円
* シニア・障がい者の方は証明できるものをご提示ください。",近隣に駐車場あり（有料）,車椅子入場可<>バリアフリートイレ<>盲導犬入場OK<>介助犬入場OK<>その他
神戸市埋蔵文化財センター,078-992-0656,http://www.city.kobe.lg.jp/culture/culture/institution/center/,コウベシマイゾウブンカザイセンター,歴史,体験・見学・クラフト,西神戸,"神戸市内には、五色塚古墳、大歳山遺跡などの学術上著名な遺跡が数多くあります。神戸市埋蔵文化財センターでは「よみがえる神戸の歴史」をテーマに、市内各所の遺跡で出土した遺物の調査・整理・収蔵を行っています。 
常設展示室では、旧石器時代から中世に至るまでのさまざまな出土品を展示。収蔵スペースも展示公開されており、出土した資料を見学しながら神戸の歴史を身近に感じることができます。また、縄文土器作りや勾玉作りなどの親子で学べる体験講座や、年数回の企画展も開催しています。",神戸市西区糀台6-1,西神中央公園内,西区,651-2273,34.714925,135.017873,078-992-0656,火～日 10:00～17:00,http://www.city.kobe.lg.jp/culture/culture/institution/center/,地下鉄西神山手線 西神中央駅から南へ徒歩8分,月,無料,近隣に駐車場あり（有料）,バリアフリートイレ<>エレベーターあり<>点字案内あり<>車椅子利用可能トイレ<>車椅子入場可
神戸市立須磨離宮公園,078-732-6688,http://www.kobe-park.or.jp/rikyu/,コウベシリツ スマリキュウコウエン,自然・生き物・アウトドア,神社・仏閣・庭園,須磨・垂水・舞子,"大阪湾が一望できる開放的で花と緑いっぱいの欧風噴水庭園には、「王侯貴族のバラ園」があり、春秋に約180種4,000株のバラが咲き誇るのをはじめ、ボタンやハナショウブから紅葉・梅と四季を通じて楽しめる総合公園。この公園は、皇室の別荘「武庫離宮」の跡に造られ、当時の面影を残し、平成26年12月で造営100年を迎えました。海の冒険物語「宝島」を題材に28基の遊具で構成されたフィールドアスレチック「子供の森」も一部リニュアルして、子供から大人までお楽しみいただけます。",神戸市須磨区東須磨1-1,,須磨区,654-0018,34.655138,135.127531,078-732-6688,"9:00～17:00(入園は16:30まで) / 5月の土・日・祝休日は9:00～19:00(入園は18:30まで)、7,8月の土・日・祝日は9:00から20:00まで（入園は19:30まで）  / ※イベントによって夜間開園あり",http://www.kobe-park.or.jp/rikyu/,山陽 月見山駅、または須磨寺駅から徒歩10分 / JR・山陽電鉄須磨駅から市バス75系統で10分,木(祝日の場合は翌日),小・中学生 ￥200 / 大人 ￥400,有料専用駐車場あり,盲導犬入場OK<>介助犬入場OK<>バリアフリートイレ<>車椅子利用可能トイレ<>車椅子入場可
